STUDENT ID,,,,,SCORE,MATH,GI,ENG,CA,HIST,GEO,ECO,CONS,BIO,PHY,CHEM,GK,FM,PER(%),Monthly
2324,1,8,305,868,31.25,5,8.75,7.75,1.5,6.75,2.5,0.5,-1.5,-0.5,-0.75,0.5,0.75,200,15.63,1st month
2324,1,8,305,249,57,8.5,18.5,13,0,3,1,4,0,0,2.5,3.5,3,200,28.5,1st month
2324,1,8,305,623,26.25,4,0,6,3,13.5,4,-1.25,-1.25,0,-0.25,-1,-0.5,200,13.13,1st month
2122,1,8,305,2569,52,12.75,7.5,13,0,8.25,3.5,3.5,-0.75,2.75,1.5,0,0,200,26,1st month
2324,1,8,305,1147,53.75,11.5,6.25,12.25,0,11.25,3.75,2.5,0.5,3.25,2,0.5,0,200,26.88,1st month
2324,1,8,305,1236,57.75,4.75,9.25,12.5,-0.25,15.25,2.5,4.25,0,2,1,4.75,1.75,200,28.88,1st month
2324,1,8,305,448,64.25,8.75,11.5,12.75,2,13.75,3.5,2.25,0.5,2,4.5,2,0.75,200,32.13,1st month
2324,1,8,305,223,62.25,12,18.75,21.5,0,0,-0.25,1,0,-0.25,2.75,6.75,0,200,31.13,1st month
2324,1,8,305,1114,47,7.5,10,10.25,1,13.25,1.75,0.5,-0.25,3.25,-0.75,0.5,0,200,23.5,1st month
2223,1,8,305,10631,64.75,1.75,12.5,19,0.75,15.75,5.75,4.75,0.75,0,1.25,0.75,1.75,200,32.38,1st month
2324,1,8,305,1078,41.25,5,14.5,10.25,0.25,5.5,3,1.25,0,0,0,0,1.5,200,20.63,1st month
2324,1,8,305,662,72.75,18.5,16.25,17.25,8.5,6.5,0,5.25,0,0,-0.25,1,-0.25,200,36.38,1st month
2324,1,8,305,703,68.75,19.75,17.25,10,8.5,6.75,0,5.25,0,0,-0.25,1.5,0,200,34.38,1st month
2223,1,8,305,8229,67.25,5.25,9.5,13.75,12.5,16.5,5,4,0.75,0,0,0,0,200,33.63,1st month
2324,1,8,305,139,108.5,10,16,13.25,15,19.75,8.25,2.5,6.75,2,3.5,1.5,10,200,54.25,1st month
2324,1,8,305,229,119.25,11,17,23.75,12.75,20.75,8.25,5.5,7.5,1,2.5,2.25,7,200,59.62,1st month
2324,1,8,305,423,109,12,17,22,5.5,18.25,8.25,6.25,6.5,1.75,3,1.5,7,200,54.5,1st month
2324,1,8,305,867,33.25,8,4.5,11.75,0,6.25,0.25,0,0,1.25,-2,1.5,1.75,200,16.63,1st month
2223,7,8,393,8019,27.75,0,6.5,7.5,0,1.25,0,4,-0.75,-0.25,3.75,3,2.75,200,13.88,2nd month
2223,7,8,393,8311,87.5,14.5,16.75,18,4.75,5.5,5,6.25,4.75,2.25,6.75,3,0,200,43.75,2nd month
2223,7,8,392,7614,129.25,10,15.75,15.5,20,20.25,5.75,5.25,8.75,8.75,5,5.5,8.75,200,64.63,2nd month
2223,7,8,392,7733,131,10,14.5,18,20,19.25,5.75,5.25,8.75,8.75,5,7,8.75,200,65.5,2nd month
2223,7,8,392,7734,120.25,8,12.25,14.25,20,17.75,5.75,5.25,8.75,8.75,3.75,7,8.75,200,60.12,2nd month
2223,7,8,392,4161,101,0,3,8.5,20,20.25,5.75,5.25,8.75,8.75,5,7,8.75,200,50.5,2nd month
2223,7,8,393,4509,18,0,4,2,2.5,10,1.25,-0.25,0.5,-0.25,-0.5,-0.75,-0.5,200,9,2nd month
2223,7,8,392,7735,117.5,11.75,14.25,19,13,20.5,3.25,1.25,4,6.5,6.5,8.75,8.75,200,58.75,2nd month
2223,7,8,392,7113,109.5,11.75,14.5,12.25,13,19.5,5.75,2.5,1.75,5.75,6.25,8.75,7.75,200,54.75,2nd month
2223,7,8,392,6034,118,11.75,13.25,22,14,19.5,3.5,1.5,3.25,5.5,6.25,8.75,8.75,200,59,2nd month
2223,7,8,393,8057,75.25,14.25,13,16.5,4.5,6.75,5,5.75,0,2.25,5.25,0.25,1.75,200,37.63,2nd month
2223,7,8,393,7517,81.5,11.75,11,19.25,4,6.5,3.5,5,1,1.25,6.5,6.75,5,200,40.75,2nd month
2223,7,8,393,8059,17.5,7.25,3.25,1.5,-1.75,2.25,-0.25,0,1.75,0,0,0.25,3.25,200,8.75,2nd month
2223,7,8,393,7851,107.5,6,10.75,23.25,0,13,10.75,11,7.5,3.25,5.25,10,6.75,200,53.75,2nd month
2223,7,8,393,8446,21.25,1,4.25,4.5,-0.25,1.75,0.5,1.75,-1,-1,1,3.75,5,200,10.63,2nd month
2223,7,8,392,7773,64.25,0.75,15.5,23.75,1,-1,3,5.25,3,1.5,3.5,6.5,1.5,200,32.13,2nd month
2223,7,8,393,8107,42.5,9.75,17,7.75,0.25,1,2,0.5,3.25,-0.25,-0.5,0,1.75,200,21.25,2nd month
2223,8,8,391,6678,18.5,0,1.25,1.25,-0.5,10.25,2,2,1,0,1.25,0,0,200,9.25,3rd month
2223,8,8,391,5794,46,0,5.75,3.75,2.5,15.25,4.25,5.25,2.25,1.75,1.25,2,2,200,23,3rd month
2223,8,8,390,4112,78,2,7,16.25,7.25,14.75,6.25,6.25,5.75,2,2.5,2.5,5.5,200,39,3rd month
2223,8,8,391,6088,32.5,1.75,5.25,5.5,1,8.25,2.25,4,2,0.25,0.25,0,2,200,16.25,3rd month
2223,8,8,390,4502,30.25,0,0.75,16.75,2.5,-1,3.25,3.25,-0.5,0,3,1,1.25,200,15.13,3rd month
2223,8,8,390,4411,68,0,8.25,16.75,5.25,15.25,8.75,5.75,3.25,-1,1,2.25,2.5,200,34,3rd month
2223,8,8,391,5730,82.5,2,3.75,23.75,7.5,14.5,8.5,7.25,6.25,2,3,3,1,200,41.25,3rd month
2223,8,8,391,5606,39,2.25,4.25,10,2.25,5.5,0.75,3.75,2.5,2.75,1.5,3,0.5,200,19.5,3rd month
2223,8,8,390,4001,20,-1.75,6.75,1.25,0.25,9.25,2.25,0.5,0.25,-0.25,1.25,-1.75,2,200,10,3rd month
2223,8,8,389,3627,14.25,0.25,1.5,6,0.25,2.5,4.25,1.25,0.25,0,0.25,-1.5,-0.75,200,7.12,3rd month
2223,8,8,391,5936,28.25,-1,4.5,13.75,2.25,3,0.25,1,3.75,-0.75,-0.75,0.25,2,200,14.12,3rd month
2223,8,8,391,5150,8.75,-1.25,1.5,5,1.5,0.25,-0.5,0,0.25,-0.75,0.5,1.5,0.75,200,4.38,3rd month
2223,8,8,389,4191,38,4,5.75,14,3.5,1.25,1.25,0,0,0,0.5,4.75,3,200,19,3rd month
2223,8,8,391,6117,23,-0.5,1,10.25,2.25,2,0.5,1.75,2,1,3,-0.75,0.5,200,11.5,3rd month
2223,8,8,391,5214,22,2,8.5,1.25,0,1.25,-0.25,1.5,2,0,3,2.5,0.25,200,11,3rd month
2223,8,8,390,4353,53,6,11.5,12.5,0.75,8.75,3.25,0,2,-0.5,4.5,1.5,2.75,200,26.5,3rd month
2223,8,8,390,4448,27.5,4,0,2.25,1.5,6.5,3,1.25,1.75,1.5,2.75,0.25,2.75,200,13.75,3rd month
2223,8,8,389,3856,40.75,4.75,7.25,10,0.75,5.25,2.75,1,0,3.75,1.25,1.25,2.75,200,20.38,3rd month
2223,8,8,390,3874,68.25,14.75,14.25,7.25,0,8,2,5.75,1.5,6.75,4.5,3.5,0,200,34.13,3rd month
2021,8,8,390,877,82.5,4,17.5,8,1.5,13.25,8.75,11,8.25,2.5,5.5,2.25,0,200,41.25,3rd month
2223,8,8,391,5265,17.5,0.5,11,3.75,-0.5,0.75,-0.5,-0.25,-0.25,0,0.25,0,2.75,200,8.75,3rd month
2223,8,8,389,3584,15.5,2.75,1,1.75,3,3.25,3.5,-0.25,0,0,0,-0.25,0.75,200,7.75,3rd month
2223,8,8,389,3585,16.5,2.5,1.25,0,2.25,8,1.5,0,0,0,-0.5,-0.25,1.75,200,8.25,3rd month
2223,8,8,389,3427,57.75,8.75,8.75,8.25,3.75,7.25,3.75,5.25,4.5,-1,4,3,1.5,200,28.88,3rd month
2223,8,8,389,3518,33.75,-0.5,8.5,0,0,12.75,6.25,-0.75,3.5,-0.5,1.75,0.25,2.5,200,16.88,3rd month
2223,8,8,389,3568,39.5,2.5,4.75,8.75,0,5.75,0,6.25,2,0.25,4.25,2,3,200,19.75,3rd month
2223,8,8,391,5401,80.75,4,8.25,16.75,2.5,13.5,7.5,5.5,7.75,3.75,3,1.5,6.75,200,40.38,3rd month
2223,8,8,391,5510,14.5,0.75,2.5,7.25,0,0,1.25,-0.75,-1.25,-0.5,5,-0.5,0.75,200,7.25,3rd month
